Date,Jan  ,Feb  ,Mar  ,Apr  ,May  ,Jun  ,Jul  ,Aug  ,Sep  ,Oct  ,Nov  ,Dec  
1,-   ,-   ,-   ,-   ,-   ,-   ,-   ,4770,5576,3808,1716,1242
2,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5824,5758,3652,1628,1186
3,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5980,6220,4028,1564,1106
4,-   ,-   ,-   ,-   ,-   ,-   ,-   ,4939,5615,4462,1522,1058
5,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5134,6430,-   ,1480,1010
6,-   ,-   ,-   ,-   ,-   ,-   ,-   ,6040,6040,5420,1452,968
7,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5498,6400,6295,1410,926
8,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5745,5866,7030,1382,902
9,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5537,5797,7030,1354,878
10,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5922,5654,6850,1340,842
11,-   ,-   ,-   ,-   ,-   ,-   ,-   ,5654,5420,5745,1312,818
12,-   ,-   ,-   ,-   ,-   ,-   ,2381,5719,5459,5069,1377,794
13,-   ,-   ,-   ,-   ,-   ,-   ,2630,6220,5043,4731,1242,770
14,-   ,-   ,-   ,-   ,-   ,-   ,2540,6460,4822,4354,1235,746
15,-   ,-   ,-   ,-   ,-   ,-   ,2780,6280,5004,3984,1284,722
16,-   ,-   ,-   ,-   ,-   ,-   ,2890,5880,5108,3665,1410,710
17,-   ,-   ,-   ,-   ,-   ,-   ,2660,6280,5004,3555,1606,686
18,-   ,-   ,-   ,-   ,-   ,-   ,2670,5810,4822,3350,1908,674
19,-   ,-   ,-   ,-   ,-   ,-   ,2680,5852,5108,3210,1684,650
20,-   ,-   ,-   ,-   ,-   ,-   ,2630,5602,5173,3010,1529,635
21,-   ,-   ,-   ,-   ,-   ,-   ,3522,5628,4874,2790,1452,620
22,-   ,-   ,-   ,-   ,-   ,-   ,3310,5355,4861,2610,1424,600
23,-   ,-   ,-   ,-   ,-   ,-   ,3764,5550,4978,2490,1424,590
24,-   ,-   ,-   ,-   ,-   ,-   ,3874,6490,4965,2363,1522,570
25,-   ,-   ,-   ,-   ,-   ,-   ,3808,6790,4887,2246,1445,560
