Year,Month,Dates,Blue_Nile_output
1967,Jan  ,1.0,
1967,Jan  ,2.0,
1967,Jan  ,3.0,
1967,Jan  ,4.0,
1967,Jan  ,5.0,
1967,Jan  ,6.0,
1967,Jan  ,7.0,
1967,Jan  ,8.0,
1967,Jan  ,9.0,
1967,Jan  ,10.0,
1967,Jan  ,11.0,
1967,Jan  ,12.0,
1967,Jan  ,13.0,
1967,Jan  ,14.0,
1967,Jan  ,15.0,
1967,Jan  ,16.0,
1967,Jan  ,17.0,
1967,Jan  ,18.0,
1967,Jan  ,19.0,
1967,Jan  ,20.0,
1967,Jan  ,21.0,
1967,Jan  ,22.0,
1967,Jan  ,23.0,
1967,Jan  ,24.0,
1967,Jan  ,25.0,
1967,Jan  ,26.0,
1967,Jan  ,27.0,
1967,Jan  ,28.0,
1967,Jan  ,29.0,
1967,Jan  ,30.0,
1967,Jan  ,31.0,
1967,Feb  ,1.0,
1967,Feb  ,2.0,
1967,Feb  ,3.0,
1967,Feb  ,4.0,
1967,Feb  ,5.0,
1967,Feb  ,6.0,
1967,Feb  ,7.0,
1967,Feb  ,8.0,
1967,Feb  ,9.0,
1967,Feb  ,10.0,
1967,Feb  ,11.0,
1967,Feb  ,12.0,
1967,Feb  ,13.0,
1967,Feb  ,14.0,
1967,Feb  ,15.0,
1967,Feb  ,16.0,
1967,Feb  ,17.0,
1967,Feb  ,18.0,
1967,Feb  ,19.0,
1967,Feb  ,20.0,
1967,Feb  ,21.0,
1967,Feb  ,22.0,
1967,Feb  ,23.0,
1967,Feb  ,24.0,
1967,Feb  ,25.0,
1967,Feb  ,26.0,
1967,Feb  ,27.0,
1967,Feb  ,28.0,
1967,Feb  ,29.0,
1967,Feb  ,30.0,
1967,Feb  ,31.0,
1967,Mar  ,1.0,
1967,Mar  ,2.0,
1967,Mar  ,3.0,
1967,Mar  ,4.0,
1967,Mar  ,5.0,
1967,Mar  ,6.0,
1967,Mar  ,7.0,
1967,Mar  ,8.0,
1967,Mar  ,9.0,
1967,Mar  ,10.0,
1967,Mar  ,11.0,
1967,Mar  ,12.0,
1967,Mar  ,13.0,
1967,Mar  ,14.0,
1967,Mar  ,15.0,
1967,Mar  ,16.0,
1967,Mar  ,17.0,
1967,Mar  ,18.0,
1967,Mar  ,19.0,
1967,Mar  ,20.0,
1967,Mar  ,21.0,
1967,Mar  ,22.0,
1967,Mar  ,23.0,
1967,Mar  ,24.0,
1967,Mar  ,25.0,
1967,Mar  ,26.0,
1967,Mar  ,27.0,
1967,Mar  ,28.0,
1967,Mar  ,29.0,
1967,Mar  ,30.0,
1967,Mar  ,31.0,
1967,Apr  ,1.0,
1967,Apr  ,2.0,
1967,Apr  ,3.0,
1967,Apr  ,4.0,
1967,Apr  ,5.0,
1967,Apr  ,6.0,
1967,Apr  ,7.0,
1967,Apr  ,8.0,
1967,Apr  ,9.0,
1967,Apr  ,10.0,
1967,Apr  ,11.0,
1967,Apr  ,12.0,
1967,Apr  ,13.0,
1967,Apr  ,14.0,
1967,Apr  ,15.0,
1967,Apr  ,16.0,
1967,Apr  ,17.0,
1967,Apr  ,18.0,
1967,Apr  ,19.0,
1967,Apr  ,20.0,
1967,Apr  ,21.0,
1967,Apr  ,22.0,
1967,Apr  ,23.0,
1967,Apr  ,24.0,
1967,Apr  ,25.0,
1967,Apr  ,26.0,
1967,Apr  ,27.0,
1967,Apr  ,28.0,
1967,Apr  ,29.0,
1967,Apr  ,30.0,
1967,Apr  ,31.0,
1967,May  ,1.0,
1967,May  ,2.0,
1967,May  ,3.0,
1967,May  ,4.0,
1967,May  ,5.0,
1967,May  ,6.0,
1967,May  ,7.0,
1967,May  ,8.0,
1967,May  ,9.0,
1967,May  ,10.0,
1967,May  ,11.0,
1967,May  ,12.0,
1967,May  ,13.0,
1967,May  ,14.0,
1967,May  ,15.0,
1967,May  ,16.0,
1967,May  ,17.0,
1967,May  ,18.0,
1967,May  ,19.0,
1967,May  ,20.0,
1967,May  ,21.0,
1967,May  ,22.0,
1967,May  ,23.0,
1967,May  ,24.0,
1967,May  ,25.0,
1967,May  ,26.0,
1967,May  ,27.0,
1967,May  ,28.0,
1967,May  ,29.0,
1967,May  ,30.0,
1967,May  ,31.0,
1967,Jun  ,1.0,
1967,Jun  ,2.0,
1967,Jun  ,3.0,
1967,Jun  ,4.0,
1967,Jun  ,5.0,
1967,Jun  ,6.0,
1967,Jun  ,7.0,
1967,Jun  ,8.0,
1967,Jun  ,9.0,
1967,Jun  ,10.0,
1967,Jun  ,11.0,
1967,Jun  ,12.0,
1967,Jun  ,13.0,
1967,Jun  ,14.0,
1967,Jun  ,15.0,
1967,Jun  ,16.0,
1967,Jun  ,17.0,
1967,Jun  ,18.0,
1967,Jun  ,19.0,
1967,Jun  ,20.0,
1967,Jun  ,21.0,
1967,Jun  ,22.0,
1967,Jun  ,23.0,
1967,Jun  ,24.0,
1967,Jun  ,25.0,
1967,Jun  ,26.0,
1967,Jun  ,27.0,
1967,Jun  ,28.0,
1967,Jun  ,29.0,
1967,Jun  ,30.0,
1967,Jun  ,31.0,
1967,Jul  ,1.0,
1967,Jul  ,2.0,
1967,Jul  ,3.0,
1967,Jul  ,4.0,
1967,Jul  ,5.0,
1967,Jul  ,6.0,
1967,Jul  ,7.0,
1967,Jul  ,8.0,
1967,Jul  ,9.0,
1967,Jul  ,10.0,
1967,Jul  ,11.0,
1967,Jul  ,12.0,2381.0
1967,Jul  ,13.0,2630.0
1967,Jul  ,14.0,2540.0
1967,Jul  ,15.0,2780.0
1967,Jul  ,16.0,2890.0
1967,Jul  ,17.0,2660.0
1967,Jul  ,18.0,2670.0
1967,Jul  ,19.0,2680.0
1967,Jul  ,20.0,2630.0
1967,Jul  ,21.0,3522.0
1967,Jul  ,22.0,3310.0
1967,Jul  ,23.0,3764.0
1967,Jul  ,24.0,3874.0
1967,Jul  ,25.0,3808.0
1967,Jul  ,26.0,3390.0
1967,Jul  ,27.0,3130.0
1967,Jul  ,28.0,4072.0
1967,Jul  ,29.0,4731.0
1967,Jul  ,30.0,4330.0
1967,Jul  ,31.0,3874.0
1967,Aug  ,1.0,4770.0
1967,Aug  ,2.0,5824.0
1967,Aug  ,3.0,5980.0
1967,Aug  ,4.0,4939.0
1967,Aug  ,5.0,5134.0
1967,Aug  ,6.0,6040.0
1967,Aug  ,7.0,5498.0
1967,Aug  ,8.0,5745.0
1967,Aug  ,9.0,5537.0
1967,Aug  ,10.0,5922.0
1967,Aug  ,11.0,5654.0
1967,Aug  ,12.0,5719.0
1967,Aug  ,13.0,6220.0
1967,Aug  ,14.0,6460.0
1967,Aug  ,15.0,6280.0
1967,Aug  ,16.0,5880.0
1967,Aug  ,17.0,6280.0
1967,Aug  ,18.0,5810.0
1967,Aug  ,19.0,5852.0
1967,Aug  ,20.0,5602.0
1967,Aug  ,21.0,5628.0
1967,Aug  ,22.0,5355.0
1967,Aug  ,23.0,5550.0
1967,Aug  ,24.0,6490.0
1967,Aug  ,25.0,6790.0
1967,Aug  ,26.0,6310.0
1967,Aug  ,27.0,5894.0
1967,Aug  ,28.0,5550.0
1967,Aug  ,29.0,5654.0
1967,Aug  ,30.0,5446.0
1967,Aug  ,31.0,5303.0
1967,Sep  ,1.0,5576.0
1967,Sep  ,2.0,5758.0
1967,Sep  ,3.0,6220.0
1967,Sep  ,4.0,5615.0
1967,Sep  ,5.0,6430.0
1967,Sep  ,6.0,6040.0
1967,Sep  ,7.0,6400.0
1967,Sep  ,8.0,5866.0
1967,Sep  ,9.0,5797.0
1967,Sep  ,10.0,5654.0
1967,Sep  ,11.0,5420.0
1967,Sep  ,12.0,5459.0
1967,Sep  ,13.0,5043.0
1967,Sep  ,14.0,4822.0
1967,Sep  ,15.0,5004.0
1967,Sep  ,16.0,5108.0
1967,Sep  ,17.0,5004.0
1967,Sep  ,18.0,4822.0
1967,Sep  ,19.0,5108.0
1967,Sep  ,20.0,5173.0
1967,Sep  ,21.0,4874.0
1967,Sep  ,22.0,4861.0
1967,Sep  ,23.0,4978.0
1967,Sep  ,24.0,4965.0
1967,Sep  ,25.0,4887.0
1967,Sep  ,26.0,4952.0
1967,Sep  ,27.0,4926.0
1967,Sep  ,28.0,4354.0
1967,Sep  ,29.0,4138.0
1967,Sep  ,30.0,3918.0
1967,Sep  ,31.0,
1967,Oct  ,1.0,3808.0
1967,Oct  ,2.0,3652.0
1967,Oct  ,3.0,4028.0
1967,Oct  ,4.0,4462.0
1967,Oct  ,5.0,
1967,Oct  ,6.0,5420.0
1967,Oct  ,7.0,6295.0
1967,Oct  ,8.0,7030.0
1967,Oct  ,9.0,7030.0
1967,Oct  ,10.0,6850.0
1967,Oct  ,11.0,5745.0
1967,Oct  ,12.0,5069.0
1967,Oct  ,13.0,4731.0
1967,Oct  ,14.0,4354.0
1967,Oct  ,15.0,3984.0
1967,Oct  ,16.0,3665.0
1967,Oct  ,17.0,3555.0
1967,Oct  ,18.0,3350.0
1967,Oct  ,19.0,3210.0
1967,Oct  ,20.0,3010.0
1967,Oct  ,21.0,2790.0
1967,Oct  ,22.0,2610.0
1967,Oct  ,23.0,2490.0
1967,Oct  ,24.0,2363.0
1967,Oct  ,25.0,2246.0
1967,Oct  ,26.0,2156.0
1967,Oct  ,27.0,2066.0
1967,Oct  ,28.0,2003.0
1967,Oct  ,29.0,1932.0
1967,Oct  ,30.0,1876.0
1967,Oct  ,31.0,1796.0
1967,Nov  ,1.0,1716.0
1967,Nov  ,2.0,1628.0
1967,Nov  ,3.0,1564.0
1967,Nov  ,4.0,1522.0
1967,Nov  ,5.0,1480.0
1967,Nov  ,6.0,1452.0
1967,Nov  ,7.0,1410.0
1967,Nov  ,8.0,1382.0
1967,Nov  ,9.0,1354.0
1967,Nov  ,10.0,1340.0
1967,Nov  ,11.0,1312.0
1967,Nov  ,12.0,1377.0
1967,Nov  ,13.0,1242.0
1967,Nov  ,14.0,1235.0
1967,Nov  ,15.0,1284.0
1967,Nov  ,16.0,1410.0
1967,Nov  ,17.0,1606.0
1967,Nov  ,18.0,1908.0
1967,Nov  ,19.0,1684.0
1967,Nov  ,20.0,1529.0
1967,Nov  ,21.0,1452.0
1967,Nov  ,22.0,1424.0
1967,Nov  ,23.0,1424.0
1967,Nov  ,24.0,1522.0
1967,Nov  ,25.0,1445.0
1967,Nov  ,26.0,1361.0
1967,Nov  ,27.0,1256.0
1967,Nov  ,28.0,1200.0
1967,Nov  ,29.0,1200.0
1967,Nov  ,30.0,1214.0
1967,Nov  ,31.0,
1967,Dec  ,1.0,1242.0
1967,Dec  ,2.0,1186.0
1967,Dec  ,3.0,1106.0
1967,Dec  ,4.0,1058.0
1967,Dec  ,5.0,1010.0
1967,Dec  ,6.0,968.0
1967,Dec  ,7.0,926.0
1967,Dec  ,8.0,902.0
1967,Dec  ,9.0,878.0
1967,Dec  ,10.0,842.0
1967,Dec  ,11.0,818.0
1967,Dec  ,12.0,794.0
1967,Dec  ,13.0,770.0
1967,Dec  ,14.0,746.0
1967,Dec  ,15.0,722.0
1967,Dec  ,16.0,710.0
1967,Dec  ,17.0,686.0
1967,Dec  ,18.0,674.0
1967,Dec  ,19.0,650.0
1967,Dec  ,20.0,635.0
